SJIS,TRANSLATOR,ASCII
リッチバーン,[RTCHBRN],Ritchburn
リフモニカ,[RFMNCA],Rifmonica
ランドル,[RNDR],Run-dor
エンジ,[NZI],Enzi
キルフィス,[KLLFTH],Killfith
ルフィール,[RFLL],Rufeel
ミューノ,[MURNO],Murno
ヴィー,[VE],V.E
ジェイド,[JADE],Jade
レミィ,[LMMY],Lemmy
ティエ,[TIER],Tier
ボスタフ,[BSTPH],Bostaph
ザック,[ZACK],Zack
ロブ,[ROB],Rob
ギラン,[GLLN],Gillan
ベンソン,[BNSN],Benson
テュス,[TUES],Tues
ロシェ,[ROCHE],Roche
トラム,[TRAM],Tram
パイク,[PIKE],Pike
アニス,[ANISE],Anise
サージ,[SRGE],Serge
ベルヴォレン,[VLWRN],Velworen
マグドラド,[MGDRD],Magdrad
ヴォイジン,[VJN],Voijin
ギャラハン,[GLLHN],Gallahan
